Model,Threshold,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,ROC-AUC,PR-AUC
Logistic Regression,0.9999999976247462,0.9994382285473526,0.8648179693480762,0.9310344827586207,0.7297297297297297,0.9999062089664228,0.8181818181818182,0.8239988959716028,0.9677295472174483,0.792091990268021
Autoencoder,7.528877258300781,0.996488928420954,0.735185135895603,0.23972602739726026,0.47297297297297297,0.997397298818233,0.3181818181818182,0.3351553867252729,0.9254234538421371,0.3169581866497742
Isolation Forest,0.652719414146064,0.9973081784560648,0.6074398469938707,0.2191780821917808,0.21621621621621623,0.9986634777715251,0.21768707482993196,0.21634393023044377,0.9473458404944055,0.1275236947118963
